handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,name
y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y,democrat
y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n,democrat
n,q,y,n,y,y,n,y,n,n,y,n,n,n,n,q,democrat
y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,q,democrat
n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,q,democrat
y,n,y,n,n,n,y,y,y,q,y,n,n,n,y,q,democrat
q,q,n,n,q,y,q,n,n,n,y,y,n,y,n,q,democrat
y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n,democrat
y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
q,q,q,q,n,y,n,y,y,n,n,y,y,n,n,q,republican
y,y,q,q,q,y,n,n,n,n,y,n,y,n,n,y,democrat
y,y,y,q,n,n,n,y,n,n,y,q,n,n,y,y,democrat
y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y,democrat
y,y,n,n,y,q,n,n,n,n,y,n,y,y,n,y,democrat
n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y,democrat
n,y,n,y,q,y,n,n,n,y,n,y,y,y,n,n,republican
n,y,n,y,y,y,n,q,n,n,q,q,q,y,n,q,republican
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n,republican
q,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,q,y,n,n,republican
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y,democrat
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,democrat
y,n,y,n,n,y,y,y,y,n,n,y,q,y,y,y,democrat
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n,republican
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y,democrat
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
y,y,y,y,y,y,y,y,n,y,q,q,q,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
n,y,y,n,n,y,y,y,q,y,n,n,n,n,n,y,democrat
y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y,democrat
y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y,democrat
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y,democrat
y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y,republican
n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y,democrat
n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,democrat
n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
n,y,y,n,n,q,y,y,y,y,y,n,q,y,y,y,democrat
n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,q,democrat
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y,democrat
n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y,republican
q,q,q,n,n,n,y,y,y,y,n,n,y,n,y,y,democrat
y,n,y,n,q,n,y,y,y,y,n,y,n,q,y,y,democrat
n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y,republican
n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y,democrat
n,q,n,y,y,y,n,n,n,n,y,y,y,y,n,y,republican
n,n,n,y,y,y,q,q,q,q,n,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,y,q,n,republican
